日付,駅名,乗車人員数
2020-08-15,さっぽろ（南北線）,26201
2020-08-15,さっぽろ（東豊線）,12784
2020-08-15,大通（南北線）,22461
2020-08-15,大通（東西線）,9503
2020-08-15,大通（東豊線）,6324
2020-08-15,すすきの,8224
2020-08-16,さっぽろ（南北線）,23248
2020-08-16,さっぽろ（東豊線）,11490
2020-08-16,大通（南北線）,19294
2020-08-16,大通（東西線）,7940
2020-08-16,大通（東豊線）,5215
2020-08-16,すすきの,6819
2020-08-17,さっぽろ（南北線）,38320
2020-08-17,さっぽろ（東豊線）,21348
2020-08-17,大通（南北線）,30511
2020-08-17,大通（東西線）,16299
2020-08-17,大通（東豊線）,10666
2020-08-17,すすきの,7933
2020-08-18,さっぽろ（南北線）,38826
2020-08-18,さっぽろ（東豊線）,22408
2020-08-18,大通（南北線）,30868
2020-08-18,大通（東西線）,16717
2020-08-18,大通（東豊線）,11123
2020-08-18,すすきの,8063
2020-08-19,さっぽろ（南北線）,39685
2020-08-19,さっぽろ（東豊線）,22870
2020-08-19,大通（南北線）,31670
2020-08-19,大通（東西線）,16690
2020-08-19,大通（東豊線）,11219
2020-08-19,すすきの,8276
2020-08-20,さっぽろ（南北線）,40416
2020-08-20,さっぽろ（東豊線）,23229
2020-08-20,大通（南北線）,31745
2020-08-20,大通（東西線）,16827
2020-08-20,大通（東豊線）,11155
2020-08-20,すすきの,8369
2020-08-21,さっぽろ（南北線）,41778
2020-08-21,さっぽろ（東豊線）,23991
2020-08-21,大通（南北線）,34018
2020-08-21,大通（東西線）,17850
2020-08-21,大通（東豊線）,11469
2020-08-21,すすきの,9280
2020-08-22,さっぽろ（南北線）,31240
2020-08-22,さっぽろ（東豊線）,15911
2020-08-22,大通（南北線）,27319
2020-08-22,大通（東西線）,11518
2020-08-22,大通（東豊線）,7619
2020-08-22,すすきの,9196
2020-08-23,さっぽろ（南北線）,24258
2020-08-23,さっぽろ（東豊線）,12667
2020-08-23,大通（南北線）,20785
2020-08-23,大通（東西線）,8431
2020-08-23,大通（東豊線）,5594
2020-08-23,すすきの,7045
2020-08-24,さっぽろ（南北線）,39512
2020-08-24,さっぽろ（東豊線）,22309
2020-08-24,大通（南北線）,31706
2020-08-24,大通（東西線）,17179
2020-08-24,大通（東豊線）,11143
2020-08-24,すすきの,8152
2020-08-25,さっぽろ（南北線）,40321
2020-08-25,さっぽろ（東豊線）,22741
2020-08-25,大通（南北線）,32320
2020-08-25,大通（東西線）,17745
2020-08-25,大通（東豊線）,11563
2020-08-25,すすきの,8704
2020-08-26,さっぽろ（南北線）,40285
